link_id,tick,load_units,load_ratio,status,observed_latency_ms
Aegis-Boreas,330,42.3,0.2036,ok,71192.183
Aegis-Boreas,331,15.0,0.072,ok,60825.099
Aegis-Boreas,332,149.6,0.719,ok,391315.18
Aegis-Boreas,333,41.1,0.1975,ok,69884.884
Aegis-Boreas,334,47.7,0.2293,ok,
Aegis-Boreas,335,17.0,0.0816,ok,58294.017
Aegis-Boreas,336,17.6,0.0845,ok,61632.158
Aegis-Boreas,337,88.3,0.4246,ok,117556.389
Aegis-Boreas,338,60.2,0.2893,ok,82588.696
Aegis-Boreas,339,68.8,0.331,ok,90156.053
Aegis-Boreas,340,67.2,0.3231,ok,88887.77
Aegis-Boreas,341,85.7,0.4122,ok,112743.537
Aegis-Boreas,342,37.4,0.1796,ok,67297.32
Aegis-Boreas,343,25.5,0.1227,ok,61355.033
Aegis-Boreas,344,78.8,0.3789,ok,99169.48
Aegis-Boreas,345,23.9,0.1147,ok,60283.748
Aegis-Boreas,346,61.6,0.2962,ok,81619.423
Aegis-Boreas,347,24.3,0.1167,ok,62216.257
Aegis-Boreas,348,11.1,0.0536,ok,58420.667
Aegis-Boreas,349,54.8,0.2636,ok,76747.897
Aegis-Boreas,350,,0.3311,ok,89936.713
Aegis-Boreas,351,76.4,0.3672,ok,96289.67
Aegis-Boreas,352,47.2,0.2267,ok,
Aegis-Boreas,353,39.8,0.1913,ok,68993.785
Aegis-Boreas,354,13.5,0.065,ok,61142.818
Aegis-Boreas,355,39.1,0.188,ok,68150.06
Aegis-Boreas,356,47.5,0.2283,ok,71926.002
Aegis-Boreas,357,118.5,0.5695,ok,197121.033
Aegis-Boreas,358,106.3,0.5112,ok,158034.602
Aegis-Boreas,359,54.6,0.2623,ok,75934.933
Aegis-Boreas,360,71.9,0.3457,ok,92374.447
Aegis-Boreas,361,104.6,0.5028,ok,152135.334
Aegis-Boreas,362,50.3,0.2419,ok,73419.984
Aegis-Boreas,363,78.9,0.3796,ok,101907.067
Aegis-Boreas,364,44.9,0.2161,ok,71904.839
Aegis-Boreas,365,32.4,0.1558,ok,64275.338
Aegis-Boreas,366,113.0,0.5431,ok,177110.568
Aegis-Boreas,367,10.6,0.051,ok,59518.737
Aegis-Boreas,368,95.5,0.4592,ok,131693.455
Aegis-Boreas,369,97.2,0.4671,ok,133410.106
Aegis-Boreas,370,71.0,0.3412,ok,92075.13
Aegis-Boreas,371,16.3,0.0782,ok,57537.12
Aegis-Boreas,372,8.2,0.0394,ok,61756.596
Aegis-Boreas,373,70.5,0.3389,ok,91060.36
Aegis-Boreas,374,37.1,0.1784,ok,28259.458
Aegis-Boreas,375,24.8,0.1192,ok,64419.72
Aegis-Boreas,376,81.3,0.391,ok,105956.908
Aegis-Boreas,377,18.9,0.0909,ok,19915.379
Aegis-Boreas,378,49.3,0.2371,ok,72975.677
Aegis-Boreas,379,58.0,0.2787,ok,82119.493
Aegis-Boreas,380,96.5,0.464,ok,132820.295
Aegis-Boreas,381,87.6,0.4213,ok,115871.859
Aegis-Boreas,382,20.8,0.0998,ok,59909.883
Aegis-Boreas,383,14.4,0.0692,ok,
Aegis-Boreas,384,1.3,0.0065,ok,62122.885
Aegis-Boreas,385,9.9,0.0477,ok,59783.233
Aegis-Boreas,386,167.8,0.8066,ok,664873.739
Aegis-Boreas,387,106.1,0.5103,ok,155183.255
Aegis-Boreas,388,57.1,0.2747,ok,79062.886
Aegis-Boreas,389,30.7,0.1478,ok,
Aegis-Boreas,390,61.4,0.2954,ok,81595.889
Aegis-Boreas,391,148.5,0.714,ok,379820.432
Aegis-Boreas,392,65.6,0.3155,ok,84673.535
Aegis-Boreas,393,9.3,0.0448,ok,58506.505
Aegis-Boreas,394,37.3,0.1794,ok,68452.304
Aegis-Boreas,395,26.0,0.1248,ok,63310.842
Aegis-Boreas,396,155.5,0.7478,ok,459586.25
Aegis-Boreas,397,,0.2619,ok,77726.099
Aegis-Boreas,398,,0.1881,ok,
Aegis-Boreas,399,110.8,0.5325,ok,167116.625
Aegis-Boreas,400,20.5,0.0986,ok,62141.151
Aegis-Boreas,401,71.0,0.3414,ok,92525.824
Aegis-Boreas,402,22.4,0.1079,ok,63226.574
Aegis-Boreas,403,57.5,0.2763,ok,78584.801
Aegis-Boreas,404,33.7,0.1621,ok,66296.084
Aegis-Boreas,405,93.5,0.4497,ok,125618.054
Aegis-Boreas,406,47.6,0.2289,ok,
Aegis-Boreas,407,90.3,0.4343,ok,120752.001
Aegis-Boreas,408,48.1,0.2312,ok,71638.857
Aegis-Boreas,409,49.9,0.2399,ok,71784.265
Aegis-Boreas,410,39.4,0.1893,ok,64230.621
Aegis-Boreas,411,61.2,0.294,ok,
Aegis-Boreas,412,61.5,0.2956,ok,85410.661
Aegis-Boreas,413,86.1,0.4142,ok,113231.632
Aegis-Boreas,414,76.6,0.3683,ok,102608.935
Aegis-Boreas,415,,0.2697,ok,77695.555
Aegis-Boreas,416,67.4,0.3238,ok,87449.994
Aegis-Boreas,417,81.2,0.3902,ok,102974.048
Aegis-Boreas,418,31.4,0.1508,ok,64416.401
Aegis-Boreas,419,63.3,0.3043,ok,85220.043
Aegis-Boreas,420,64.0,0.3075,ok,85363.173
Aegis-Boreas,421,38.1,0.1833,ok,68092.269
Aegis-Boreas,422,12.2,0.0586,ok,63217.479
Aegis-Boreas,423,26.7,0.1282,ok,63039.999
Aegis-Boreas,424,3.5,0.0167,ok,61508.268
Aegis-Boreas,425,37.6,0.1806,ok,67384.634
Aegis-Boreas,426,81.7,0.3927,ok,103972.047
Aegis-Boreas,427,49.1,0.2359,ok,73779.053
Aegis-Boreas,428,50.4,0.2425,ok,74006.297
Aegis-Boreas,429,23.8,0.1143,ok,61563.366
Aegis-Boreas,430,81.8,0.3934,ok,105801.016
Aegis-Boreas,431,76.0,0.3655,ok,97778.397
Aegis-Boreas,432,29.9,0.1436,ok,27155.358
Aegis-Boreas,433,56.4,0.2713,ok,78092.789
Aegis-Boreas,434,92.6,0.4454,ok,125421.804
Aegis-Boreas,435,20.7,0.0993,ok,61432.908
Aegis-Boreas,436,51.9,0.2494,ok,75740.837
Aegis-Boreas,437,104.3,0.5015,ok,150983.472
Aegis-Boreas,438,69.4,0.3336,ok,89846.073
Aegis-Boreas,439,125.6,0.6038,ok,226205.738
Aegis-Boreas,440,64.9,0.3118,ok,88162.305
Aegis-Boreas,441,63.4,0.3048,ok,
Aegis-Boreas,442,14.0,0.0675,ok,62013.651
Aegis-Boreas,443,79.6,0.3825,ok,103286.028
Aegis-Boreas,444,73.9,0.3554,ok,93345.238
Aegis-Boreas,445,46.8,0.225,ok,71555.575
Aegis-Boreas,446,66.2,0.318,ok,86262.94
Aegis-Boreas,447,9.8,0.0471,ok,60511.881
Aegis-Boreas,448,17.4,0.0836,ok,61609.301
Aegis-Boreas,449,75.5,0.3629,ok,97533.451
Aegis-Boreas,450,44.8,0.2155,ok,71947.146
Aegis-Boreas,451,62.6,0.301,ok,82330.299
Aegis-Boreas,452,35.1,0.1687,ok,64847.32
Aegis-Boreas,453,32.5,0.1564,ok,
Aegis-Boreas,454,71.2,0.3421,ok,91858.937
Aegis-Boreas,455,30.8,0.1479,ok,63856.875
Aegis-Boreas,456,22.0,0.106,ok,62726.628
Aegis-Boreas,457,126.3,0.6073,ok,227515.059
Aegis-Boreas,458,17.4,0.0836,ok,60805.456
Aegis-Boreas,459,62.6,0.3009,ok,
Aegis-Boreas,460,25.7,0.1238,ok,62271.346
Aegis-Boreas,461,34.1,0.1641,ok,66299.758
Aegis-Boreas,462,69.2,0.3328,ok,89864.866
Aegis-Boreas,463,48.1,0.2311,ok,75016.201
Aegis-Boreas,464,16.1,0.0774,ok,61139.671
Aegis-Boreas,465,61.5,0.2958,ok,83391.094
Aegis-Boreas,466,12.8,0.0616,ok,117996.22
Aegis-Boreas,467,59.4,0.2856,ok,80191.047
Aegis-Boreas,468,55.8,0.2681,ok,78167.568
Aegis-Boreas,469,14.6,0.0701,ok,
Aegis-Boreas,470,30.5,0.1468,ok,22834.21
Aegis-Boreas,471,87.5,0.4207,ok,117180.127
Aegis-Boreas,472,37.5,0.1805,ok,66836.16
Aegis-Boreas,473,86.1,0.4141,ok,114123.477
Aegis-Boreas,474,35.8,0.1721,ok,67331.395
Aegis-Boreas,475,114.6,0.5508,ok,183655.792
Aegis-Boreas,476,43.7,0.2102,ok,69474.025
Aegis-Boreas,477,41.6,0.2,ok,69106.117
Aegis-Boreas,478,3.8,0.0182,ok,57565.156
Aegis-Boreas,479,35.8,0.1723,ok,67843.551
Aegis-Boreas,480,49.2,0.2365,ok,72801.42
Aegis-Boreas,481,81.3,0.3908,ok,103964.554
Aegis-Boreas,482,18.8,0.0906,ok,60863.138
Aegis-Boreas,483,26.4,0.1268,ok,64738.301
Aegis-Boreas,484,118.8,0.5713,ok,195566.221
Aegis-Boreas,485,5.5,0.0264,ok,58733.343
