link_id,tick,self_reported_latency_ms,measured_latency_ms
Aegis-Boreas,44,254010.419,264335.447
Aegis-Boreas,45,57017.282,59890.23
Aegis-Boreas,46,65379.436,68334.016
Aegis-Boreas,47,43919.954,74733.458
Aegis-Boreas,48,139492.87,144226.977
Aegis-Boreas,49,61671.54,64615.081
Aegis-Boreas,50,59402.316,60625.665
Aegis-Boreas,51,,79285.332
Aegis-Boreas,52,,73477.336
Aegis-Boreas,53,67341.32,68634.958
Aegis-Boreas,54,,82209.983
Aegis-Boreas,55,162734.525,170476.482
Aegis-Boreas,56,114965.252,109797.619
Aegis-Boreas,57,67385.415,66657.744
Aegis-Boreas,58,218333.748,228082.722
Aegis-Boreas,59,347017.403,364714.061
Aegis-Boreas,60,88072.531,84370.571
Aegis-Boreas,61,171094.543,167567.139
Aegis-Boreas,62,592733.743,597900.265
Aegis-Boreas,63,57290.864,60150.316
Aegis-Boreas,64,173970.315,173014.777
Aegis-Boreas,65,58868.132,59074.477
Aegis-Boreas,66,71141.807,71434.658
Aegis-Boreas,67,143866.493,146355.179
Aegis-Boreas,68,62363.499,61578.314
Aegis-Boreas,69,67472.685,68523.029
Aegis-Boreas,70,333546.291,138586.708
Aegis-Boreas,71,73624.385,73777.488
Aegis-Boreas,72,66338.542,65830.036
Aegis-Boreas,73,139129.77,135308.907
Aegis-Boreas,74,146595.094,140876.9
Aegis-Boreas,75,159661.05,154546.154
Aegis-Boreas,76,74756.312,74735.847
Aegis-Boreas,77,199877.453,195070.9
Aegis-Boreas,78,82001.613,80817.545
Aegis-Boreas,79,61793.37,62151.298
Aegis-Boreas,80,109619.71,111944.55
Aegis-Boreas,81,66082.143,64921.615
Aegis-Boreas,82,137849.407,131823.213
Aegis-Boreas,83,118030.367,123746.621
Aegis-Boreas,84,68553.868,69747.694
Aegis-Boreas,85,85663.814,84212.888
Aegis-Boreas,86,150086.057,154107.212
Aegis-Boreas,87,88983.751,85817.292
Aegis-Boreas,88,63230.631,60431.752
Aegis-Boreas,89,166536.972,170589.107
Aegis-Boreas,90,67838.277,69271.893
Aegis-Boreas,91,99279.125,96880.954
Aegis-Boreas,92,116689.691,116817.403
Aegis-Boreas,93,70531.81,70877.406
Aegis-Boreas,94,78536.983,77890.909
Aegis-Boreas,95,63307.828,63552.617
Aegis-Boreas,96,118305.543,119217.517
Aegis-Boreas,97,286784.283,288059.016
Aegis-Boreas,98,76023.162,73615.304
Aegis-Boreas,99,73844.433,71925.195
Aegis-Boreas,100,141511.998,144887.79
Aegis-Boreas,101,68251.138,69460.983
Aegis-Boreas,102,84494.354,84601.313
Aegis-Boreas,103,204973.028,205196.589
Aegis-Boreas,104,116441.308,117300.056
Aegis-Boreas,105,69555.338,68094.73
Aegis-Boreas,106,,618860.538
Aegis-Boreas,107,95617.334,91115.496
Aegis-Boreas,108,104698.176,103840.588
Aegis-Boreas,109,59895.789,62206.978
Aegis-Boreas,110,77793.73,75370.699
Aegis-Boreas,111,262495.009,267729.758
Aegis-Boreas,112,99402.413,96213.054
Aegis-Boreas,113,67326.068,66307.531
Aegis-Boreas,114,65375.264,67864.772
Aegis-Boreas,115,72544.352,69189.076
Aegis-Boreas,116,75305.447,76033.892
Aegis-Boreas,117,127842.352,125276.099
Aegis-Boreas,118,402894.021,393782.354
Aegis-Boreas,119,64970.222,63041.254
Aegis-Boreas,120,59206.983,60532.451
Aegis-Boreas,121,,96464.704
Aegis-Boreas,122,85096.227,81088.376
Aegis-Boreas,123,127007.732,129016.824
Aegis-Boreas,124,62060.307,64073.605
Aegis-Boreas,125,78588.199,79949.03
Aegis-Boreas,126,105640.067,107236.502
Aegis-Boreas,127,,91525.405
Aegis-Boreas,128,58803.687,61696.092
Aegis-Boreas,129,70776.225,69056.034
Aegis-Boreas,130,,80259.58
Aegis-Boreas,131,63673.958,63364.073
Aegis-Boreas,132,99770.992,104014.213
Aegis-Boreas,133,61764.605,60492.718
Aegis-Boreas,134,57351.864,59250.597
Aegis-Boreas,135,77383.404,77140.946
Aegis-Boreas,136,96781.18,94101.84
Aegis-Boreas,137,,185305.254
Aegis-Boreas,138,92272.432,93140.385
Aegis-Boreas,139,141464.178,143434.059
Aegis-Boreas,140,57765.593,58847.563
Aegis-Boreas,141,72024.048,73437.329
Aegis-Boreas,142,85548.058,87418.521
Aegis-Boreas,143,116173.879,121110.026
Aegis-Boreas,144,93185.909,91107.984
Aegis-Boreas,145,523398.63,548354.738
Aegis-Boreas,146,58936.0,60981.302
Aegis-Boreas,147,361347.353,348349.442
Aegis-Boreas,148,75195.298,78170.164
Aegis-Boreas,149,85231.897,86035.515
Aegis-Boreas,150,68746.527,66927.14
Aegis-Boreas,151,78926.518,77355.556
Aegis-Boreas,152,142975.57,143667.925
Aegis-Boreas,153,70457.524,70618.932
Aegis-Boreas,154,94117.27,92347.163
Aegis-Boreas,155,61560.467,61317.569
Aegis-Boreas,156,112190.312,113714.22
Aegis-Boreas,157,306568.784,319669.583
Aegis-Boreas,158,59295.649,58816.298
Aegis-Boreas,159,63137.834,61118.04
Aegis-Boreas,160,62269.709,65165.179
Aegis-Boreas,161,113982.27,108672.995
Aegis-Boreas,162,66481.357,64780.68
Aegis-Boreas,163,67996.323,65647.962
Aegis-Boreas,164,143977.423,139924.089
Aegis-Boreas,165,58060.535,60689.875
Aegis-Boreas,166,64845.346,63841.955
Aegis-Boreas,167,67803.094,70711.636
Aegis-Boreas,168,60840.822,60066.333
Aegis-Boreas,169,127218.415,132024.093
Aegis-Boreas,170,59615.625,59008.898
Aegis-Boreas,171,466189.595,446188.316
Aegis-Boreas,172,91576.289,88902.888
Aegis-Boreas,173,58461.218,61264.192
Aegis-Boreas,174,70537.587,70887.318
Aegis-Boreas,175,197855.077,195035.99
Aegis-Boreas,176,61038.239,61899.829
Aegis-Boreas,177,64528.954,63863.169
Aegis-Boreas,178,79499.591,80168.201
Aegis-Boreas,179,311855.725,305570.917
Aegis-Boreas,180,77850.257,81565.858
Aegis-Boreas,181,175941.775,171014.983
Aegis-Boreas,182,85162.648,82514.777
Aegis-Boreas,183,58941.597,61895.338
Aegis-Boreas,184,66314.671,67301.387
Aegis-Boreas,185,61283.218,63782.847
Aegis-Boreas,186,,84102.473
Aegis-Boreas,187,56846.692,59745.683
Aegis-Boreas,188,86110.696,90230.068
Aegis-Boreas,189,79017.584,81886.849
Aegis-Boreas,190,105163.655,101917.795
Aegis-Boreas,191,152635.868,153872.192
Aegis-Boreas,192,78584.279,81778.868
Aegis-Boreas,193,97791.342,93201.594
Aegis-Boreas,194,128248.275,128145.821
Aegis-Boreas,195,85472.772,81626.65
Aegis-Boreas,196,65334.188,62700.334
Aegis-Boreas,197,74832.135,75594.579
Aegis-Boreas,198,108601.286,104024.569
Aegis-Boreas,199,154577.805,152044.509
Aegis-Boreas,200,67282.71,67140.346
Aegis-Boreas,201,57758.166,60348.077
Aegis-Boreas,202,59591.872,59950.707
Aegis-Boreas,203,197203.935,201852.598
Aegis-Boreas,204,37775.445,69738.907
Aegis-Boreas,205,64916.001,62163.726
Aegis-Boreas,206,136198.744,134704.445
Aegis-Boreas,207,126932.899,64955.823
Aegis-Boreas,208,94594.675,93694.078
Aegis-Boreas,209,79899.149,77366.876
Aegis-Boreas,210,103828.557,101120.025
Aegis-Boreas,211,68726.614,71841.555
Aegis-Boreas,212,133387.644,139733.254
Aegis-Boreas,213,82207.467,79206.955
Aegis-Boreas,214,76090.268,78040.233
Aegis-Boreas,215,109559.147,109023.737
Aegis-Boreas,216,64299.599,66370.272
Aegis-Boreas,217,188617.433,195144.453
Aegis-Boreas,218,62885.621,62904.009
Aegis-Boreas,219,144835.077,148822.128
Aegis-Boreas,220,63578.817,63781.116
Aegis-Boreas,221,74388.586,72397.479
Aegis-Boreas,222,65273.198,67273.587
Aegis-Boreas,223,80148.047,82763.698
Aegis-Boreas,224,75095.221,75869.686
Aegis-Boreas,225,57847.848,58725.014
Aegis-Boreas,226,97273.017,98606.965
Aegis-Boreas,227,96257.327,101119.014
Aegis-Boreas,228,67906.155,65808.706
Aegis-Boreas,229,71902.262,72629.84
Aegis-Boreas,230,130035.757,125434.591
Aegis-Boreas,231,59778.35,61683.941
Aegis-Boreas,232,323586.641,316623.415
Aegis-Boreas,233,68131.407,70886.048
Aegis-Boreas,234,63116.246,62023.368
Aegis-Boreas,235,63534.547,63299.676
Aegis-Boreas,236,330178.724,332481.736
Aegis-Boreas,237,93030.867,92603.512
Aegis-Boreas,238,87714.054,89679.101
Aegis-Boreas,239,60772.748,62288.204
Aegis-Boreas,240,672129.176,681224.769
Aegis-Boreas,241,,66554.783
Aegis-Boreas,242,93090.44,91824.038
Aegis-Boreas,243,117674.692,112712.537
Aegis-Boreas,244,75375.9,78681.756
Aegis-Boreas,245,79480.956,80356.323
Aegis-Boreas,246,161487.227,154451.462
Aegis-Boreas,247,59332.278,61479.01
Aegis-Boreas,248,66623.825,65925.696
Aegis-Boreas,249,119211.587,118544.64
Aegis-Boreas,250,61209.041,61944.956
Aegis-Boreas,251,65110.771,62460.466
Aegis-Boreas,252,106363.735,104605.868
Aegis-Boreas,253,141843.187,136662.605
Aegis-Boreas,254,58185.285,60494.122
Aegis-Boreas,255,85937.079,84713.543
Aegis-Boreas,256,72349.903,74405.321
Aegis-Boreas,257,63542.647,65025.604
Aegis-Boreas,258,67107.922,66313.303
Aegis-Boreas,259,115430.734,112751.282
Aegis-Boreas,260,65532.341,62912.077
Aegis-Boreas,261,64249.75,64200.183
Aegis-Boreas,262,154549.273,155733.907
Aegis-Boreas,263,103704.244,106719.392
Aegis-Boreas,264,67002.825,67568.421
Aegis-Boreas,265,71963.653,75591.336
Aegis-Boreas,266,145101.871,143060.37
Aegis-Boreas,267,59914.342,59222.928
Aegis-Boreas,268,67285.143,64292.744
Aegis-Boreas,269,112830.062,108255.559
Aegis-Boreas,270,129545.443,130782.871
Aegis-Boreas,271,95846.862,97627.739
Aegis-Boreas,272,86083.432,87748.504
Aegis-Boreas,273,66362.624,66727.488
Aegis-Boreas,274,258553.512,250154.305
Aegis-Boreas,275,78275.296,76068.465
Aegis-Boreas,276,116351.733,115687.085
Aegis-Boreas,277,76743.562,75213.139
Aegis-Boreas,278,62193.5,60687.979
Aegis-Boreas,279,84097.584,87518.224
Aegis-Boreas,280,84733.668,86274.098
Aegis-Boreas,281,,60919.99
Aegis-Boreas,282,66747.122,63924.349
Aegis-Boreas,283,59214.873,60673.526
Aegis-Boreas,284,94387.54,94635.645
Aegis-Boreas,285,85682.072,83631.378
Aegis-Boreas,286,67995.587,69546.233
Aegis-Boreas,287,115937.279,112927.228
Aegis-Boreas,288,252394.239,256773.371
Aegis-Boreas,289,128603.088,124917.183
Aegis-Boreas,290,191586.808,195024.358
Aegis-Boreas,291,63350.085,66030.527
Aegis-Boreas,292,79832.064,80517.884
Aegis-Boreas,293,181500.234,181400.685
Aegis-Boreas,294,65680.09,62864.191
Aegis-Boreas,295,78299.605,79688.943
Aegis-Boreas,296,209053.135,369584.634
Aegis-Boreas,297,120018.646,119597.245
Aegis-Boreas,298,70338.057,69331.741
Aegis-Boreas,299,69445.678,72467.896
Aegis-Boreas,300,94008.696,96352.737
Aegis-Boreas,301,93019.666,90774.882
Aegis-Boreas,302,108659.48,103856.872
Aegis-Boreas,303,331449.528,328269.688
Aegis-Boreas,304,267502.208,276429.158
Aegis-Boreas,305,61441.314,63797.035
Aegis-Boreas,306,63856.551,61719.52
Aegis-Boreas,307,94295.596,90400.664
Aegis-Boreas,308,177140.568,175334.439
Aegis-Boreas,309,93282.678,91725.867
Aegis-Boreas,310,58954.961,61421.923
Aegis-Boreas,311,,73169.535
Aegis-Boreas,312,66387.951,63768.868
Aegis-Boreas,313,71331.917,72878.265
Aegis-Boreas,314,74386.029,78266.217
Aegis-Boreas,315,74000.145,71001.984
Aegis-Boreas,316,183049.66,181406.729
Aegis-Boreas,317,134866.29,132816.933
Aegis-Boreas,318,68663.082,69563.573
Aegis-Boreas,319,65028.882,64553.402
Aegis-Boreas,320,65916.135,62993.415
Aegis-Boreas,321,67687.86,70787.945
Aegis-Boreas,322,160454.999,158935.289
Aegis-Boreas,323,82624.76,85712.353
Aegis-Boreas,324,61221.062,61078.016
Aegis-Boreas,325,104372.538,106178.185
Aegis-Boreas,326,61874.717,61795.941
Aegis-Boreas,327,70868.729,72656.482
Aegis-Boreas,328,66076.828,66571.11
Aegis-Boreas,329,102101.899,101250.258
Aegis-Boreas,330,145380.999,139323.016
Aegis-Boreas,331,86500.585,86008.27
Aegis-Boreas,332,283460.925,120308.241
Aegis-Boreas,333,74671.921,72234.696
Aegis-Boreas,334,104760.466,102150.086
Aegis-Boreas,335,130448.186,129446.878
Aegis-Boreas,336,64776.743,67035.571
Aegis-Boreas,337,71452.041,69836.86
Aegis-Boreas,338,69794.718,67301.327
Aegis-Boreas,339,66004.723,65286.3
Aegis-Boreas,340,86523.095,84721.473
Aegis-Boreas,341,66777.088,66043.997
Aegis-Boreas,342,67492.07,70569.811
Aegis-Boreas,343,60464.4,112757.444
Aegis-Boreas,344,60517.582,58050.223
Aegis-Boreas,345,79397.757,77213.916
Aegis-Boreas,346,66898.548,67934.379
Aegis-Boreas,347,211798.067,210132.751
Aegis-Boreas,348,73803.569,72693.089
Aegis-Boreas,349,64303.962,66808.026
Aegis-Boreas,350,61856.867,61474.732
Aegis-Boreas,351,62645.367,60173.703
Aegis-Boreas,352,,103979.307
Aegis-Boreas,353,103362.096,106591.772
Aegis-Boreas,354,80762.748,83785.366
Aegis-Boreas,355,71391.868,71137.834
Aegis-Boreas,356,59355.181,60658.327
Aegis-Boreas,357,60504.295,60289.921
Aegis-Boreas,358,140610.813,143183.086
Aegis-Boreas,359,113551.871,119481.443
Aegis-Boreas,360,62300.792,62542.933
Aegis-Boreas,361,118629.416,122340.406
Aegis-Boreas,362,197151.675,189945.288
Aegis-Boreas,363,61538.401,61635.595
Aegis-Boreas,364,70689.395,73290.6
Aegis-Boreas,365,137113.101,135546.908
Aegis-Boreas,366,85691.182,83801.983
Aegis-Boreas,367,70121.353,71216.515
Aegis-Boreas,368,94710.721,93025.852
Aegis-Boreas,369,,95887.183
Aegis-Boreas,370,175040.35,167541.757
Aegis-Boreas,371,65804.881,63607.627
Aegis-Boreas,372,63489.511,65032.697
Aegis-Boreas,373,71275.92,72304.769
Aegis-Boreas,374,62630.524,62846.262
Aegis-Boreas,375,78427.008,78232.56
Aegis-Boreas,376,72977.135,75001.454
Aegis-Boreas,377,62994.611,64473.258
Aegis-Boreas,378,88631.467,85553.628
Aegis-Boreas,379,62299.563,65326.682
Aegis-Boreas,380,77731.53,77405.496
Aegis-Boreas,381,79863.624,78571.882
Aegis-Boreas,382,60336.172,63446.915
Aegis-Boreas,383,64294.185,67277.168
Aegis-Boreas,384,69590.468,70414.348
Aegis-Boreas,385,135838.05,131045.557
Aegis-Boreas,386,68378.357,70170.814
Aegis-Boreas,387,65713.531,66858.023
Aegis-Boreas,388,91312.357,90290.412
Aegis-Boreas,389,175559.708,172275.318
Aegis-Boreas,390,74480.917,75005.738
Aegis-Boreas,391,89072.264,92654.595
Aegis-Boreas,392,57023.077,59518.021
Aegis-Boreas,393,66272.391,67021.636
Aegis-Boreas,394,87171.458,84331.859
Aegis-Boreas,395,56007.273,58677.598
Aegis-Boreas,396,92967.862,89236.741
Aegis-Boreas,397,100028.342,104140.766
Aegis-Boreas,398,102072.784,101286.848
Aegis-Boreas,399,65947.59,66741.595
Aegis-Boreas,400,133428.099,132981.445
Aegis-Boreas,401,80658.929,78008.677
Aegis-Boreas,402,185142.309,186357.421
Aegis-Boreas,403,67202.475,70653.456
Aegis-Boreas,404,,216801.795
Aegis-Boreas,405,63535.472,64749.133
Aegis-Boreas,406,63343.656,61901.296
Aegis-Boreas,407,68357.784,65585.231
Aegis-Boreas,408,59400.524,60170.701
Aegis-Boreas,409,74543.212,73097.642
Aegis-Boreas,410,239038.732,227721.71
Aegis-Boreas,411,80357.551,77056.076
Aegis-Boreas,412,176433.677,177870.654
Aegis-Boreas,413,72494.098,70671.656
Aegis-Boreas,414,495347.248,506038.957
Aegis-Boreas,415,302711.332,318074.063
Aegis-Boreas,416,73193.882,72537.585
Aegis-Boreas,417,71343.684,72046.616
Aegis-Boreas,418,155745.078,156915.657
Aegis-Boreas,419,63017.347,62678.195
Aegis-Boreas,420,60807.629,62604.853
Aegis-Boreas,421,112209.675,108685.724
Aegis-Boreas,422,64403.82,61473.653
Aegis-Boreas,423,90552.814,87796.645
Aegis-Boreas,424,81674.223,83442.652
Aegis-Boreas,425,71205.414,73983.484
Aegis-Boreas,426,168202.822,169003.723
Aegis-Boreas,427,63740.598,62928.979
Aegis-Boreas,428,61747.017,62288.702
Aegis-Boreas,429,83538.68,84724.854
Aegis-Boreas,430,66790.251,67622.737
Aegis-Boreas,431,64159.932,63373.173
Aegis-Boreas,432,64422.569,64744.761
Aegis-Boreas,433,63607.777,65181.274
Aegis-Boreas,434,115665.415,117661.875
Aegis-Boreas,435,140171.688,64512.334
Aegis-Boreas,436,95036.261,98558.131
Aegis-Boreas,437,89757.483,91069.33
Aegis-Boreas,438,76412.955,73672.495
Aegis-Boreas,439,60432.326,63405.802
Aegis-Boreas,440,74983.821,76463.904
Aegis-Boreas,441,96948.354,94896.235
Aegis-Boreas,442,66792.681,63651.891
Aegis-Boreas,443,99508.523,95581.035
Aegis-Boreas,444,87478.394,83772.29
Aegis-Boreas,445,109007.116,106335.209
Aegis-Boreas,446,178261.92,170431.847
Aegis-Boreas,447,209886.831,200942.865
Aegis-Boreas,448,84101.534,88381.523
Aegis-Boreas,449,117516.083,122046.876
Aegis-Boreas,450,110007.513,105855.718
Aegis-Boreas,451,67286.295,64649.642
Aegis-Boreas,452,110194.4,109255.252
Aegis-Boreas,453,102690.525,102918.658
Aegis-Boreas,454,102992.728,98975.305
Aegis-Boreas,455,,69579.053
Aegis-Boreas,456,218626.661,218091.565
Aegis-Boreas,457,76561.295,77906.364
Aegis-Boreas,458,63855.254,64853.424
Aegis-Boreas,459,72477.578,69129.045
Aegis-Boreas,460,65002.067,62241.34
Aegis-Boreas,461,67721.625,65139.315
Aegis-Boreas,462,66669.118,68883.142
Aegis-Boreas,463,72345.527,71504.552
Aegis-Boreas,464,99638.081,102532.562
Aegis-Boreas,465,72458.244,69395.865
Aegis-Boreas,466,72764.283,70150.446
Aegis-Boreas,467,70989.342,73556.806
Aegis-Boreas,468,73728.113,74633.342
Aegis-Boreas,469,182545.636,174736.696
Aegis-Boreas,470,68310.521,69830.405
Aegis-Boreas,471,188940.516,180688.644
Aegis-Boreas,472,105104.983,101002.839
Aegis-Boreas,473,89660.754,90733.757
Aegis-Boreas,474,60362.645,60402.058
Aegis-Boreas,475,95872.797,97527.158
Aegis-Boreas,476,349169.81,352272.375
Aegis-Boreas,477,294799.397,293876.874
Aegis-Boreas,478,106260.792,101932.658
Aegis-Boreas,479,73723.855,76225.293
Aegis-Boreas,480,118391.842,114174.075
Aegis-Boreas,481,64599.981,67519.476
Aegis-Boreas,482,141094.59,145883.361
Aegis-Boreas,483,60516.766,62894.808
Aegis-Boreas,484,68784.369,67916.785
Aegis-Boreas,485,73548.059,71534.413
Aegis-Boreas,486,57328.033,59675.096
Aegis-Boreas,487,110479.518,107899.955
Aegis-Boreas,488,101350.829,102773.758
Aegis-Boreas,489,65832.146,68789.029
Aegis-Boreas,490,77075.919,73868.954
Aegis-Boreas,491,85025.28,84977.637
Aegis-Boreas,492,101612.714,97074.129
Aegis-Boreas,493,,76445.115
Aegis-Boreas,494,64606.383,65399.61
Aegis-Boreas,495,68257.547,71132.548
Aegis-Boreas,496,72867.06,76170.011
Aegis-Boreas,497,223234.648,227639.73
Aegis-Boreas,498,75350.923,76429.61
Aegis-Boreas,499,60580.335,61879.163
Aegis-Dawn,0,129736.394,135098.16
Aegis-Dawn,1,275487.947,264088.86
Aegis-Dawn,2,166449.481,161744.447
Aegis-Dawn,3,193432.869,202116.233
Aegis-Dawn,4,127550.552,127968.79
Aegis-Dawn,5,123862.978,125949.28
Aegis-Dawn,6,153364.306,153204.336
Aegis-Dawn,7,323392.574,310698.894
Aegis-Dawn,8,124312.796,119044.193
Aegis-Dawn,9,130106.459,128013.369
Aegis-Dawn,10,343501.171,344371.62
Aegis-Dawn,11,193364.72,184789.344
Aegis-Dawn,12,117761.47,122637.572
Aegis-Dawn,13,148540.912,143412.904
Aegis-Dawn,14,400239.719,415539.437
Aegis-Dawn,15,133239.269,138145.238
Aegis-Dawn,16,124933.314,125185.25
Aegis-Dawn,17,141895.842,140551.662
Aegis-Dawn,18,131863.595,135650.072
Aegis-Dawn,19,159304.605,151727.8
Aegis-Dawn,20,128318.196,128300.644
Aegis-Dawn,21,126575.651,122369.399
Aegis-Dawn,22,145370.698,145832.698
Aegis-Dawn,23,120776.748,120605.566
Aegis-Dawn,24,121224.753,124236.295
Aegis-Dawn,25,147556.405,147646.181
Aegis-Dawn,26,233185.996,239708.043
Aegis-Dawn,27,145899.409,140151.421
Aegis-Dawn,28,175319.596,179921.437
Aegis-Dawn,29,176103.59,170534.864
Aegis-Dawn,30,142141.44,140800.572
Aegis-Dawn,31,172685.279,174416.733
Aegis-Dawn,32,,128213.71
Aegis-Dawn,33,198906.427,195197.271
Aegis-Dawn,34,233985.35,237104.365
Aegis-Dawn,35,734539.853,704518.819
Aegis-Dawn,36,,138338.919
Aegis-Dawn,37,120400.372,119272.706
Aegis-Dawn,38,159717.735,157831.956
Aegis-Dawn,39,128209.112,127357.645
Aegis-Dawn,40,153270.783,155242.148
Aegis-Dawn,41,162090.816,157538.006
Aegis-Dawn,42,130553.903,129534.004
Aegis-Dawn,43,,119554.828
Aegis-Dawn,44,221962.609,223407.388
Aegis-Dawn,45,119858.943,117010.174
Aegis-Dawn,46,164493.221,171792.165
Aegis-Dawn,47,210900.306,207867.534
Aegis-Dawn,48,141282.726,139799.388
Aegis-Dawn,49,397197.531,389144.324
Aegis-Dawn,50,196823.752,204788.755
Aegis-Dawn,51,203673.723,194273.305
Aegis-Dawn,52,129780.637,128617.379
Aegis-Dawn,53,138081.486,141442.021
Aegis-Dawn,54,,146085.211
Aegis-Dawn,55,133468.809,129207.923
Aegis-Dawn,56,145996.608,148385.475
Aegis-Dawn,57,193288.349,120571.176
Aegis-Dawn,58,113894.153,119572.498
Aegis-Dawn,59,,268322.377
Aegis-Dawn,60,119061.562,123371.23
Aegis-Dawn,61,127626.707,124079.972
Aegis-Dawn,62,111930.415,117769.384
Aegis-Dawn,63,217263.864,208813.062
Aegis-Dawn,64,182401.663,179423.508
Aegis-Dawn,65,118979.605,121354.302
Aegis-Dawn,66,134154.992,140193.255
Aegis-Dawn,67,147136.178,141350.889
Aegis-Dawn,68,148016.726,149292.179
Aegis-Dawn,69,120932.261,124637.536
Aegis-Dawn,70,,169824.397
Aegis-Dawn,71,289568.684,299802.337
Aegis-Dawn,72,121186.191,124414.284
Aegis-Dawn,73,,131746.899
Aegis-Dawn,74,196688.301,188115.377
Aegis-Dawn,75,143164.548,142037.515
Aegis-Dawn,76,120337.548,117056.156
Aegis-Dawn,77,140628.876,136229.292
Aegis-Dawn,78,210495.638,206949.964
Aegis-Dawn,79,303666.553,313563.001
Aegis-Dawn,80,148945.921,141951.512
Aegis-Dawn,81,126124.746,132677.815
Aegis-Dawn,82,136561.358,142145.327
Aegis-Dawn,83,129408.479,125025.484
Aegis-Dawn,84,182413.372,177524.19
Aegis-Dawn,85,115649.222,118703.26
Aegis-Dawn,86,119253.619,116205.911
Aegis-Dawn,87,325194.751,323200.853
Aegis-Dawn,88,239842.296,245171.788
Aegis-Dawn,89,151468.535,144734.326
Aegis-Dawn,90,142246.243,149450.33
Aegis-Dawn,91,116993.478,119443.609
Aegis-Dawn,92,139229.688,145820.696
Aegis-Dawn,93,140607.845,138667.512
Aegis-Dawn,94,148665.403,148442.659
Aegis-Dawn,95,116890.348,119923.892
Aegis-Dawn,96,131513.96,129346.856
Aegis-Dawn,97,145200.42,142865.127
Aegis-Dawn,98,221368.843,228472.636
Aegis-Dawn,99,293193.2,306089.611
Aegis-Dawn,100,158194.497,155970.212
Aegis-Dawn,101,383947.53,365763.034
Aegis-Dawn,102,246215.887,239014.187
Aegis-Dawn,103,185040.148,192385.131
Aegis-Dawn,104,566070.197,567795.808
Aegis-Dawn,105,141690.683,140184.164
Aegis-Dawn,106,219686.103,226636.943
Aegis-Dawn,107,122765.41,123403.278
Aegis-Dawn,108,178370.942,171483.885
Aegis-Dawn,109,212563.45,203134.44
Aegis-Dawn,110,119081.806,118594.635
Aegis-Dawn,111,164882.121,164343.643
Aegis-Dawn,112,202583.964,194448.538
Aegis-Dawn,113,233489.197,224853.153
Aegis-Dawn,114,122124.883,121729.248
Aegis-Dawn,115,194465.707,193792.174
Aegis-Dawn,116,462423.045,445071.515
Aegis-Dawn,117,141707.419,142359.191
Aegis-Dawn,118,192563.595,186168.615
Aegis-Dawn,119,,258744.967
Aegis-Dawn,120,,121841.012
Aegis-Dawn,121,141990.494,137305.27
Aegis-Dawn,122,135717.076,135411.411
Aegis-Dawn,123,125478.786,120335.0
Aegis-Dawn,124,369037.459,387715.469
Aegis-Dawn,125,143055.117,146858.795
Aegis-Dawn,126,160453.258,168632.256
Aegis-Dawn,127,136137.71,130396.071
Aegis-Dawn,128,121679.048,124434.627
Aegis-Dawn,129,183996.389,184745.368
Aegis-Dawn,130,136783.349,133547.032
Aegis-Dawn,131,290423.263,298783.842
Aegis-Dawn,132,145715.003,143531.597
Aegis-Dawn,133,128155.446,127167.218
Aegis-Dawn,134,,262395.203
Aegis-Dawn,135,128614.026,127686.233
Aegis-Dawn,136,127546.393,123121.114
Aegis-Dawn,137,202031.538,194092.151
