link_id,tick,traffic_share,jammed_flag
Boreas-Dawn,6,0.15978,False
Boreas-Elysium,6,0.01174,False
Boreas-Fenix,6,0.06055,False
Caelum-Dawn,6,0.07714,False
Caelum-Elysium,6,0.01518,False
Caelum-Fenix,6,0.03042,False
Dawn-Elysium,6,0.07386,False
Dawn-Fenix,6,0.03105,False
Elysium-Fenix,6,0.03027,False
Aegis-Boreas,7,0.16996,False
Aegis-Dawn,7,0.05714,False
Aegis-Elysium,7,0.01085,False
Boreas-Dawn,7,0.03905,False
Boreas-Elysium,7,0.18208,False
Boreas-Fenix,7,0.1118,False
Caelum-Dawn,7,0.0066,False
Caelum-Elysium,7,0.0843,False
Caelum-Fenix,7,0.00469,False
Dawn-Elysium,7,0.04877,False
Dawn-Fenix,7,0.08132,False
Elysium-Fenix,7,0.20344,False
Aegis-Boreas,8,0.00486,False
Aegis-Dawn,8,0.03782,False
Aegis-Elysium,8,0.33281,False
Boreas-Dawn,8,0.04754,False
Boreas-Elysium,8,0.22891,True
Boreas-Fenix,8,0.0308,False
Caelum-Dawn,8,0.12148,False
Caelum-Elysium,8,0.12842,False
Caelum-Fenix,8,0.00164,False
Dawn-Elysium,8,0.03362,False
Dawn-Fenix,8,0.00038,False
Elysium-Fenix,8,0.0317,False
Aegis-Boreas,9,0.05568,False
Aegis-Dawn,9,0.06464,True
Aegis-Elysium,9,0.23536,False
Boreas-Dawn,9,0.09379,False
Boreas-Elysium,9,0.0292,False
Boreas-Fenix,9,0.05818,False
Caelum-Dawn,9,0.02526,False
Caelum-Elysium,9,0.14149,False
Caelum-Fenix,9,0.20051,False
Dawn-Elysium,9,0.05746,False
Dawn-Fenix,9,0.01248,False
Elysium-Fenix,9,0.02594,False
Aegis-Boreas,10,0.2973,False
Aegis-Dawn,10,0.05482,False
Aegis-Elysium,10,0.01645,False
Boreas-Dawn,10,0.02604,False
Boreas-Elysium,10,0.20636,True
Boreas-Fenix,10,0.06981,False
Caelum-Dawn,10,0.11903,False
Caelum-Elysium,10,0.02598,False
Caelum-Fenix,10,0.00873,False
Dawn-Elysium,10,0.06516,False
Dawn-Fenix,10,0.01193,False
Elysium-Fenix,10,0.09839,False
Aegis-Boreas,11,0.00329,False
Aegis-Dawn,11,0.02545,False
Aegis-Elysium,11,0.03156,False
Boreas-Dawn,11,0.09087,False
Boreas-Elysium,11,0.09816,False
Boreas-Fenix,11,0.25172,False
Caelum-Dawn,11,0.17402,True
Caelum-Elysium,11,0.02831,False
Caelum-Fenix,11,0.12874,False
Dawn-Elysium,11,0.01175,False
Dawn-Fenix,11,0.04812,False
Elysium-Fenix,11,0.10803,False
Aegis-Boreas,12,0.05026,False
Aegis-Dawn,12,0.14875,False
Aegis-Elysium,12,0.01717,False
Boreas-Dawn,12,0.04226,False
Boreas-Elysium,12,0.09102,False
Boreas-Fenix,12,0.07174,False
Caelum-Dawn,12,0.00989,False
Caelum-Elysium,12,0.05256,False
Caelum-Fenix,12,0.11725,False
Dawn-Elysium,12,0.19141,True
Dawn-Fenix,12,0.16686,False
Elysium-Fenix,12,0.04083,False
Aegis-Boreas,13,0.27711,False
Aegis-Dawn,13,0.06016,False
Aegis-Elysium,13,0.02653,False
Boreas-Dawn,13,0.00144,False
Boreas-Elysium,13,0.17203,False
Boreas-Fenix,13,,False
Caelum-Dawn,13,0.04771,False
Caelum-Elysium,13,0.0183,False
Caelum-Fenix,13,0.19504,False
Dawn-Elysium,13,0.01671,False
Dawn-Fenix,13,0.00181,True
Elysium-Fenix,13,0.14494,False
Aegis-Boreas,14,,False
Aegis-Dawn,14,0.07227,False
Aegis-Elysium,14,0.04939,True
Boreas-Dawn,14,0.19363,False
Boreas-Elysium,14,0.04974,False
Boreas-Fenix,14,0.10121,False
Caelum-Dawn,14,0.05342,False
Caelum-Elysium,14,0.15938,True
Caelum-Fenix,14,0.15034,True
Dawn-Elysium,14,0.03921,False
Dawn-Fenix,14,0.10143,False
Elysium-Fenix,14,0.02732,False
Aegis-Boreas,15,0.19656,False
Aegis-Dawn,15,0.06014,False
Aegis-Elysium,15,0.15022,False
Boreas-Dawn,15,0.02769,False
Boreas-Elysium,15,0.24438,True
Boreas-Fenix,15,0.05501,False
Caelum-Dawn,15,0.01403,False
Caelum-Elysium,15,0.07601,False
Caelum-Fenix,15,0.08116,False
Dawn-Elysium,15,0.06102,False
Dawn-Fenix,15,0.0039,False
Elysium-Fenix,15,0.02989,False
Aegis-Boreas,16,0.29867,False
Aegis-Dawn,16,0.16398,False
Aegis-Elysium,16,0.11522,False
Boreas-Dawn,16,0.09418,False
Boreas-Elysium,16,0.04173,False
Boreas-Fenix,16,0.0338,False
Caelum-Dawn,16,0.05907,False
Caelum-Elysium,16,0.02741,False
Caelum-Fenix,16,0.00368,False
Dawn-Elysium,16,0.03072,False
Dawn-Fenix,16,0.0444,False
Elysium-Fenix,16,0.08713,False
Aegis-Boreas,17,0.04611,False
Aegis-Dawn,17,0.05285,False
Aegis-Elysium,17,0.12797,False
Boreas-Dawn,17,0.06095,False
Boreas-Elysium,17,0.26281,False
Boreas-Fenix,17,0.01267,False
Caelum-Dawn,17,0.02906,False
Caelum-Elysium,17,0.01391,False
Caelum-Fenix,17,0.09544,False
Dawn-Elysium,17,0.11783,False
Dawn-Fenix,17,0.13304,False
Elysium-Fenix,17,0.04737,False
Aegis-Boreas,18,0.0375,True
Aegis-Dawn,18,0.23904,True
Aegis-Elysium,18,0.00155,False
Boreas-Dawn,18,0.04714,False
Boreas-Elysium,18,0.12371,False
Boreas-Fenix,18,0.15311,False
Caelum-Dawn,18,0.00345,False
Caelum-Elysium,18,0.03692,False
Caelum-Fenix,18,0.05738,False
Dawn-Elysium,18,0.04647,False
Dawn-Fenix,18,0.07239,True
Elysium-Fenix,18,0.18134,False
Aegis-Boreas,19,0.02988,False
Aegis-Dawn,19,0.21947,False
Aegis-Elysium,19,0.01619,False
Boreas-Dawn,19,0.18068,True
Boreas-Elysium,19,0.19459,False
Boreas-Fenix,19,0.0527,False
Caelum-Dawn,19,0.04542,False
Caelum-Elysium,19,0.01646,False
Caelum-Fenix,19,0.0747,False
Dawn-Elysium,19,0.10053,False
Dawn-Fenix,19,0.05589,False
Elysium-Fenix,19,0.0135,False
Aegis-Boreas,20,0.03023,False
Aegis-Dawn,20,0.12035,False
Aegis-Elysium,20,0.03281,False
Boreas-Dawn,20,0.01073,False
Boreas-Elysium,20,0.05958,False
Boreas-Fenix,20,0.12415,False
Caelum-Dawn,20,0.16802,False
Caelum-Elysium,20,0.05246,False
Caelum-Fenix,20,0.26439,False
Dawn-Elysium,20,0.05639,False
Dawn-Fenix,20,0.07322,False
Elysium-Fenix,20,0.00765,True
Aegis-Boreas,21,0.27164,False
Aegis-Dawn,21,0.04775,False
Aegis-Elysium,21,0.04038,False
Boreas-Dawn,21,0.0263,False
Boreas-Elysium,21,0.22866,False
Boreas-Fenix,21,0.00354,False
Caelum-Dawn,21,0.18096,False
Caelum-Elysium,21,0.01222,False
Caelum-Fenix,21,0.11291,False
Dawn-Elysium,21,0.01415,False
Dawn-Fenix,21,0.03453,False
Elysium-Fenix,21,0.02697,False
Aegis-Boreas,22,0.21287,True
Aegis-Dawn,22,0.12769,False
Aegis-Elysium,22,0.09789,False
Boreas-Dawn,22,0.06071,False
Boreas-Elysium,22,0.00455,False
Boreas-Fenix,22,0.24205,False
Caelum-Dawn,22,0.03701,False
Caelum-Elysium,22,0.06074,False
Caelum-Fenix,22,0.06122,False
Dawn-Elysium,22,0.00246,False
Dawn-Fenix,22,0.01516,False
Elysium-Fenix,22,0.07766,False
Aegis-Boreas,23,0.11035,False
Aegis-Dawn,23,0.04783,False
Aegis-Elysium,23,,False
Boreas-Dawn,23,,False
Boreas-Elysium,23,,False
Boreas-Fenix,23,0.04852,False
Caelum-Dawn,23,0.02723,False
Caelum-Elysium,23,0.14095,True
Caelum-Fenix,23,0.02544,False
Dawn-Elysium,23,0.02381,False
Dawn-Fenix,23,0.07561,False
Elysium-Fenix,23,0.07925,False
Aegis-Boreas,24,0.06931,False
Aegis-Dawn,24,0.24566,False
Aegis-Elysium,24,0.00107,False
Boreas-Dawn,24,0.13617,False
Boreas-Elysium,24,0.03052,True
Boreas-Fenix,24,0.1139,False
Caelum-Dawn,24,,False
Caelum-Elysium,24,0.03819,False
Caelum-Fenix,24,0.0553,False
Dawn-Elysium,24,0.02847,False
Dawn-Fenix,24,,False
Elysium-Fenix,24,0.04267,False
Aegis-Boreas,25,0.05474,False
Aegis-Dawn,25,0.12162,False
Aegis-Elysium,25,0.00362,False
Boreas-Dawn,25,0.04919,False
Boreas-Elysium,25,0.13043,False
Boreas-Fenix,25,0.16606,True
Caelum-Dawn,25,0.03322,False
Caelum-Elysium,25,0.27126,False
Caelum-Fenix,25,0.02649,False
Dawn-Elysium,25,0.01808,False
Dawn-Fenix,25,0.03271,False
Elysium-Fenix,25,0.09259,False
Aegis-Boreas,26,0.02502,False
Aegis-Dawn,26,0.0255,False
Aegis-Elysium,26,0.05611,False
Boreas-Dawn,26,0.02975,False
Boreas-Elysium,26,0.09809,False
Boreas-Fenix,26,0.09404,False
Caelum-Dawn,26,0.04327,False
Caelum-Elysium,26,0.01789,False
Caelum-Fenix,26,0.19565,True
Dawn-Elysium,26,0.16464,False
Dawn-Fenix,26,0.11333,False
Elysium-Fenix,26,0.13671,True
Aegis-Boreas,27,0.09082,False
Aegis-Dawn,27,0.11658,False
Aegis-Elysium,27,0.04103,False
Boreas-Dawn,27,0.01735,False
Boreas-Elysium,27,0.03064,False
Boreas-Fenix,27,0.036,False
Caelum-Dawn,27,0.00645,False
Caelum-Elysium,27,0.28455,False
Caelum-Fenix,27,0.02967,False
Dawn-Elysium,27,0.02168,False
Dawn-Fenix,27,0.155,False
Elysium-Fenix,27,0.17022,False
Aegis-Boreas,28,0.11393,False
Aegis-Dawn,28,0.15057,False
Aegis-Elysium,28,0.06827,False
Boreas-Dawn,28,0.02193,False
Boreas-Elysium,28,0.00477,False
Boreas-Fenix,28,0.09122,False
Caelum-Dawn,28,0.01436,False
Caelum-Elysium,28,0.01903,False
Caelum-Fenix,28,0.09363,False
Dawn-Elysium,28,0.15291,False
Dawn-Fenix,28,1e-05,False
Elysium-Fenix,28,0.26937,False
Aegis-Boreas,29,0.18634,False
Aegis-Dawn,29,0.01128,False
Aegis-Elysium,29,0.01852,False
Boreas-Dawn,29,0.08541,True
Boreas-Elysium,29,0.01071,False
Boreas-Fenix,29,0.05046,True
Caelum-Dawn,29,0.00119,False
Caelum-Elysium,29,0.19009,False
Caelum-Fenix,29,0.08535,False
Dawn-Elysium,29,0.03465,False
Dawn-Fenix,29,0.27894,False
Elysium-Fenix,29,0.04706,False
Aegis-Boreas,30,0.00769,False
Aegis-Dawn,30,0.03719,False
Aegis-Elysium,30,0.13332,False
Boreas-Dawn,30,0.08705,False
Boreas-Elysium,30,0.15633,False
Boreas-Fenix,30,0.05308,False
Caelum-Dawn,30,0.02966,False
Caelum-Elysium,30,0.20829,False
Caelum-Fenix,30,0.25905,False
Dawn-Elysium,30,,False
Dawn-Fenix,30,0.00596,False
Elysium-Fenix,30,0.02016,False
Aegis-Boreas,31,0.05793,False
Aegis-Dawn,31,0.04157,False
Aegis-Elysium,31,0.20407,False
Boreas-Dawn,31,,True
Boreas-Elysium,31,0.01738,False
Boreas-Fenix,31,0.07907,False
Caelum-Dawn,31,0.06723,False
Caelum-Elysium,31,0.15841,True
Caelum-Fenix,31,0.10854,False
Dawn-Elysium,31,0.06332,False
Dawn-Fenix,31,0.05048,False
Elysium-Fenix,31,0.03594,False
Aegis-Boreas,32,0.1646,False
Aegis-Dawn,32,0.01772,False
Aegis-Elysium,32,0.12261,False
Boreas-Dawn,32,0.09518,False
Boreas-Elysium,32,0.04898,False
Boreas-Fenix,32,0.07978,False
Caelum-Dawn,32,0.04582,True
Caelum-Elysium,32,0.18282,False
Caelum-Fenix,32,0.02277,False
Dawn-Elysium,32,0.01543,False
Dawn-Fenix,32,0.16919,True
Elysium-Fenix,32,0.03509,False
Aegis-Boreas,33,,False
Aegis-Dawn,33,0.01242,False
Aegis-Elysium,33,0.04613,False
Boreas-Dawn,33,0.07043,False
Boreas-Elysium,33,0.17618,False
Boreas-Fenix,33,0.02947,False
Caelum-Dawn,33,0.203,False
Caelum-Elysium,33,0.06821,False
Caelum-Fenix,33,0.19365,True
Dawn-Elysium,33,0.02433,False
Dawn-Fenix,33,0.03495,True
Elysium-Fenix,33,0.09353,False
Aegis-Boreas,34,0.11494,False
Aegis-Dawn,34,0.03512,False
Aegis-Elysium,34,0.0568,False
Boreas-Dawn,34,0.16521,False
Boreas-Elysium,34,0.03921,False
Boreas-Fenix,34,0.1505,True
Caelum-Dawn,34,0.03529,False
Caelum-Elysium,34,0.00044,True
Caelum-Fenix,34,0.11744,False
Dawn-Elysium,34,0.08887,False
Dawn-Fenix,34,,False
Elysium-Fenix,34,0.14825,False
Aegis-Boreas,35,0.03234,False
Aegis-Dawn,35,0.03939,False
Aegis-Elysium,35,0.03082,False
Boreas-Dawn,35,0.06365,False
Boreas-Elysium,35,0.13024,False
Boreas-Fenix,35,0.06101,False
Caelum-Dawn,35,0.19157,False
Caelum-Elysium,35,0.06589,False
Caelum-Fenix,35,0.24663,False
Dawn-Elysium,35,0.00829,True
Dawn-Fenix,35,0.10025,False
Elysium-Fenix,35,0.02992,False
Aegis-Boreas,36,0.14044,False
Aegis-Dawn,36,0.11167,False
Aegis-Elysium,36,0.05077,False
Boreas-Dawn,36,0.15458,False
Boreas-Elysium,36,0.10872,False
Boreas-Fenix,36,0.19809,False
Caelum-Dawn,36,0.00625,False
Caelum-Elysium,36,0.06844,False
Caelum-Fenix,36,0.00641,False
Dawn-Elysium,36,,False
Dawn-Fenix,36,0.00977,False
Elysium-Fenix,36,0.09235,False
Aegis-Boreas,37,0.05364,True
Aegis-Dawn,37,0.03694,False
Aegis-Elysium,37,0.01264,False
Boreas-Dawn,37,0.26166,False
Boreas-Elysium,37,0.07969,False
Boreas-Fenix,37,0.0602,False
Caelum-Dawn,37,0.34862,False
Caelum-Elysium,37,0.0118,False
Caelum-Fenix,37,0.02359,False
Dawn-Elysium,37,0.02144,False
Dawn-Fenix,37,0.03217,False
Elysium-Fenix,37,0.05762,False
Aegis-Boreas,38,0.05222,False
Aegis-Dawn,38,0.24962,True
Aegis-Elysium,38,0.00095,False
Boreas-Dawn,38,0.19795,False
Boreas-Elysium,38,0.13429,True
Boreas-Fenix,38,0.02779,False
Caelum-Dawn,38,0.09206,False
Caelum-Elysium,38,0.14788,False
Caelum-Fenix,38,0.03893,False
Dawn-Elysium,38,0.00037,False
Dawn-Fenix,38,0.01673,False
Elysium-Fenix,38,0.0412,False
Aegis-Boreas,39,0.02705,False
Aegis-Dawn,39,0.01414,False
Aegis-Elysium,39,0.20275,False
Boreas-Dawn,39,0.13222,True
Boreas-Elysium,39,0.08962,False
Boreas-Fenix,39,0.2502,False
Caelum-Dawn,39,0.09695,False
Caelum-Elysium,39,0.01555,False
Caelum-Fenix,39,0.05466,False
Dawn-Elysium,39,0.08719,False
Dawn-Fenix,39,0.00039,False
Elysium-Fenix,39,0.02926,False
Aegis-Boreas,40,0.20895,False
Aegis-Dawn,40,0.12932,False
Aegis-Elysium,40,0.03212,True
Boreas-Dawn,40,0.01027,False
Boreas-Elysium,40,0.03548,False
Boreas-Fenix,40,0.05579,True
Caelum-Dawn,40,0.02375,False
Caelum-Elysium,40,0.08338,False
Caelum-Fenix,40,0.21458,False
Dawn-Elysium,40,0.05966,False
Dawn-Fenix,40,0.02904,False
Elysium-Fenix,40,0.11767,False
Aegis-Boreas,41,0.08823,False
Aegis-Dawn,41,0.02838,False
Aegis-Elysium,41,0.01536,False
Boreas-Dawn,41,0.21705,False
Boreas-Elysium,41,0.00492,False
Boreas-Fenix,41,0.17966,False
Caelum-Dawn,41,0.04665,False
Caelum-Elysium,41,0.00516,False
Caelum-Fenix,41,0.13781,False
Dawn-Elysium,41,0.06859,True
Dawn-Fenix,41,0.02134,False
Elysium-Fenix,41,,False
Aegis-Boreas,42,0.00838,False
Aegis-Dawn,42,0.08002,False
Aegis-Elysium,42,0.00423,False
Boreas-Dawn,42,0.1309,False
Boreas-Elysium,42,0.03871,False
Boreas-Fenix,42,0.04545,False
Caelum-Dawn,42,0.10075,False
Caelum-Elysium,42,0.09079,True
Caelum-Fenix,42,0.22551,False
Dawn-Elysium,42,0.08267,False
Dawn-Fenix,42,0.13327,False
Elysium-Fenix,42,0.05934,False
Aegis-Boreas,43,0.19045,True
Aegis-Dawn,43,0.05444,False
Aegis-Elysium,43,0.05825,False
Boreas-Dawn,43,0.36121,False
Boreas-Elysium,43,0.01206,False
Boreas-Fenix,43,0.08376,False
Caelum-Dawn,43,0.0155,False
Caelum-Elysium,43,0.01329,False
Caelum-Fenix,43,0.01629,False
Dawn-Elysium,43,0.04399,False
Dawn-Fenix,43,0.09194,False
Elysium-Fenix,43,0.05883,False
Aegis-Boreas,44,0.05196,False
Aegis-Dawn,44,0.11293,False
Aegis-Elysium,44,0.11865,False
Boreas-Dawn,44,0.11354,False
Boreas-Elysium,44,0.0492,False
Boreas-Fenix,44,0.04542,True
Caelum-Dawn,44,0.1203,False
Caelum-Elysium,44,0.2262,False
Caelum-Fenix,44,0.05969,False
Dawn-Elysium,44,0.00395,False
Dawn-Fenix,44,0.0838,False
Elysium-Fenix,44,0.01435,False
Aegis-Boreas,45,0.00171,False
Aegis-Dawn,45,0.29488,False
Aegis-Elysium,45,0.07201,False
Boreas-Dawn,45,0.05379,False
Boreas-Elysium,45,0.0258,False
Boreas-Fenix,45,,False
Caelum-Dawn,45,0.14888,False
Caelum-Elysium,45,0.16156,False
Caelum-Fenix,45,0.03683,False
Dawn-Elysium,45,0.09571,False
Dawn-Fenix,45,0.06095,False
Elysium-Fenix,45,0.00125,False
Aegis-Boreas,46,0.11109,False
Aegis-Dawn,46,0.10259,False
Aegis-Elysium,46,0.0009,False
Boreas-Dawn,46,0.15367,False
Boreas-Elysium,46,0.05394,False
Boreas-Fenix,46,0.00993,False
Caelum-Dawn,46,0.06004,False
Caelum-Elysium,46,0.18694,False
Caelum-Fenix,46,0.07618,False
Dawn-Elysium,46,0.03062,False
Dawn-Fenix,46,0.01016,False
Elysium-Fenix,46,,False
Aegis-Boreas,47,0.08217,False
Aegis-Dawn,47,0.03073,False
Aegis-Elysium,47,0.01981,False
Boreas-Dawn,47,0.02489,False
Boreas-Elysium,47,0.09045,False
Boreas-Fenix,47,0.18599,False
Caelum-Dawn,47,0.09653,False
Caelum-Elysium,47,0.07908,False
Caelum-Fenix,47,0.06511,False
Dawn-Elysium,47,0.02916,False
Dawn-Fenix,47,0.1022,False
Elysium-Fenix,47,0.19389,False
Aegis-Boreas,48,0.08916,False
Aegis-Dawn,48,0.00405,False
Aegis-Elysium,48,0.12162,False
Boreas-Dawn,48,0.16517,True
Boreas-Elysium,48,0.09287,False
Boreas-Fenix,48,0.03213,False
Caelum-Dawn,48,0.03532,False
Caelum-Elysium,48,0.08217,True
Caelum-Fenix,48,0.007,False
Dawn-Elysium,48,0.10852,False
Dawn-Fenix,48,0.17277,False
Elysium-Fenix,48,0.08921,False
Aegis-Boreas,49,0.05101,True
Aegis-Dawn,49,0.11053,False
Aegis-Elysium,49,0.00154,False
Boreas-Dawn,49,0.01641,False
Boreas-Elysium,49,0.07205,False
Boreas-Fenix,49,0.20271,False
Caelum-Dawn,49,0.12618,False
Caelum-Elysium,49,0.14476,False
Caelum-Fenix,49,0.0102,False
Dawn-Elysium,49,0.12913,False
Dawn-Fenix,49,0.13056,False
Elysium-Fenix,49,0.00492,False
Aegis-Boreas,50,0.07595,False
Aegis-Dawn,50,0.00663,False
Aegis-Elysium,50,0.12482,False
Boreas-Dawn,50,0.02472,False
Boreas-Elysium,50,0.07073,False
Boreas-Fenix,50,,False
Caelum-Dawn,50,0.11378,True
Caelum-Elysium,50,0.26642,False
Caelum-Fenix,50,0.02941,False
Dawn-Elysium,50,0.06798,False
Dawn-Fenix,50,0.08065,False
Elysium-Fenix,50,0.12163,False
Aegis-Boreas,51,0.18598,False
Aegis-Dawn,51,0.13499,False
Aegis-Elysium,51,0.0337,False
Boreas-Dawn,51,0.01203,False
Boreas-Elysium,51,0.06854,False
Boreas-Fenix,51,0.01178,False
Caelum-Dawn,51,0.10443,False
Caelum-Elysium,51,0.1624,False
Caelum-Fenix,51,0.14175,False
Dawn-Elysium,51,0.04061,False
Dawn-Fenix,51,0.00778,False
Elysium-Fenix,51,0.096,False
Aegis-Boreas,52,0.16707,False
Aegis-Dawn,52,0.15928,False
Aegis-Elysium,52,0.03376,False
Boreas-Dawn,52,0.04463,False
Boreas-Elysium,52,0.02839,False
Boreas-Fenix,52,0.03359,False
Caelum-Dawn,52,0.08014,False
Caelum-Elysium,52,0.06772,False
Caelum-Fenix,52,0.15993,False
Dawn-Elysium,52,0.06675,False
Dawn-Fenix,52,0.05154,False
Elysium-Fenix,52,0.10719,False
Aegis-Boreas,53,0.03559,False
Aegis-Dawn,53,0.0868,False
Aegis-Elysium,53,,False
Boreas-Dawn,53,0.06728,False
Boreas-Elysium,53,0.05289,False
Boreas-Fenix,53,0.22867,False
Caelum-Dawn,53,0.05515,False
Caelum-Elysium,53,0.00928,False
Caelum-Fenix,53,0.01997,False
Dawn-Elysium,53,0.01378,False
Dawn-Fenix,53,0.13887,False
Elysium-Fenix,53,0.02955,False
Aegis-Boreas,54,0.16736,False
Aegis-Dawn,54,0.09617,False
Aegis-Elysium,54,0.1249,True
Boreas-Dawn,54,0.15017,False
Boreas-Elysium,54,0.05475,False
Boreas-Fenix,54,0.01584,False
Caelum-Dawn,54,0.04186,False
Caelum-Elysium,54,0.00806,False
Caelum-Fenix,54,0.18636,False
Dawn-Elysium,54,0.04483,False
Dawn-Fenix,54,0.10573,False
Elysium-Fenix,54,0.00397,False
Aegis-Boreas,55,0.02571,False
Aegis-Dawn,55,0.05609,False
Aegis-Elysium,55,0.03699,True
Boreas-Dawn,55,0.2828,True
Boreas-Elysium,55,0.0517,False
Boreas-Fenix,55,0.03966,False
Caelum-Dawn,55,0.09994,False
Caelum-Elysium,55,0.00556,False
Caelum-Fenix,55,0.17048,True
Dawn-Elysium,55,0.13892,False
Dawn-Fenix,55,0.08889,False
Elysium-Fenix,55,0.00327,False
Aegis-Boreas,56,0.01965,False
Aegis-Dawn,56,0.0466,False
Aegis-Elysium,56,0.07532,False
Boreas-Dawn,56,0.05435,False
Boreas-Elysium,56,0.01749,False
Boreas-Fenix,56,0.01948,False
Caelum-Dawn,56,0.14279,False
Caelum-Elysium,56,0.00941,False
Caelum-Fenix,56,0.20375,False
Dawn-Elysium,56,0.31547,False
Dawn-Fenix,56,0.03736,False
Elysium-Fenix,56,0.05832,False
Aegis-Boreas,57,,False
Aegis-Dawn,57,0.05492,False
Aegis-Elysium,57,0.01315,False
Boreas-Dawn,57,0.00119,False
Boreas-Elysium,57,0.12529,False
Boreas-Fenix,57,0.09746,False
Caelum-Dawn,57,0.00289,False
Caelum-Elysium,57,0.099,False
Caelum-Fenix,57,0.07377,False
Dawn-Elysium,57,0.2107,False
Dawn-Fenix,57,0.29122,False
Elysium-Fenix,57,0.02362,False
Aegis-Boreas,58,0.00979,False
Aegis-Dawn,58,0.37568,False
Aegis-Elysium,58,0.06938,False
Boreas-Dawn,58,0.00187,False
Boreas-Elysium,58,0.00092,False
Boreas-Fenix,58,0.00184,False
Caelum-Dawn,58,0.09711,False
Caelum-Elysium,58,0.0212,False
Caelum-Fenix,58,0.00044,False
Dawn-Elysium,58,0.19046,False
Dawn-Fenix,58,0.17668,False
Elysium-Fenix,58,0.0546,False
Aegis-Boreas,59,0.01739,True
Aegis-Dawn,59,0.03,False
Aegis-Elysium,59,0.08862,False
Boreas-Dawn,59,0.21241,False
Boreas-Elysium,59,0.01067,False
Boreas-Fenix,59,0.0454,False
Caelum-Dawn,59,0.03431,False
Caelum-Elysium,59,0.23162,False
Caelum-Fenix,59,0.00222,True
Dawn-Elysium,59,0.22514,False
Dawn-Fenix,59,0.04101,False
Elysium-Fenix,59,0.0612,False
Aegis-Boreas,60,0.16201,False
Aegis-Dawn,60,0.01321,False
Aegis-Elysium,60,0.00849,False
Boreas-Dawn,60,0.12533,False
Boreas-Elysium,60,0.05963,False
Boreas-Fenix,60,0.0189,False
Caelum-Dawn,60,0.12281,False
Caelum-Elysium,60,0.14786,False
Caelum-Fenix,60,0.0464,False
Dawn-Elysium,60,0.20141,False
Dawn-Fenix,60,0.01645,False
Elysium-Fenix,60,0.0775,False
Aegis-Boreas,61,0.07997,False
Aegis-Dawn,61,0.03424,False
Aegis-Elysium,61,,False
Boreas-Dawn,61,0.02484,True
Boreas-Elysium,61,0.17542,True
Boreas-Fenix,61,0.06283,False
Caelum-Dawn,61,0.22965,True
Caelum-Elysium,61,0.03044,False
